pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,4/30/2024,88.1,1.48,5.99,"Ragans, Cole",672386,666142,strikeout,swinging_strike_blocked,,,,,13,Alejandro Kirk strikes out swinging.,R,R,L,TOR,KC,S,2,,1,2,2024,-0.18,-0.51,-1.21,0.31,,,,1,7,Bot,,,,,666023,,,-6.15680989,-128.0416799,-6.626985343,-0.701359668,26.231730839605746,-36.59637441,3.1,1.53,,,,88.1,2692,6.3,744942,666142,666023,521692,686681,672580,677951,669004,664728,592669,54.19,,0,0,1,0,0,,50,6,Slider,1,2,1,2,2,1,1,2,Standard,Standard,337,-0.035,-0.12
CH,4/30/2024,86.8,1.39,6.08,"Ragans, Cole",672386,666142,,foul,,,,,12,Alejandro Kirk strikes out swinging.,R,R,L,TOR,KC,S,,,1,2,2024,1.32,1.02,1.15,2.35,,,,1,7,Bot,,,,,666023,,,-3.282521299,-126.3330365,-4.813096406,14.759757002470804,27.053816682212645,-20.47654721,3.1,1.53,145,71.9,15,86.7,2122,6.3,744942,666142,666023,521692,686681,672580,677951,669004,664728,592669,54.2,,,,,,,,50,5,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,121,0,0
FF,4/30/2024,99.4,1.07,6.27,"Ragans, Cole",672386,666142,,foul,,,,,3,Alejandro Kirk strikes out swinging.,R,R,L,TOR,KC,S,,,1,2,2024,1.21,1.24,0.56,3.01,,,,1,7,Bot,,,,,666023,,,-4.232433714,-144.4794848,-6.319149101,17.91220465353662,39.45302284909433,-13.50133043,3.1,1.53,138,82.9,9,98.2,2688,6.1,744942,666142,666023,521692,686681,672580,677951,669004,664728,592669,54.41,,,,,,,,50,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,132,0,0
FF,4/30/2024,97.7,1.17,6.25,"Ragans, Cole",672386,666142,,swinging_strike,,,,,2,Alejandro Kirk strikes out swinging.,R,R,L,TOR,KC,S,,,1,1,2024,1.17,1.51,0.15,2.82,,,,1,7,Bot,,,,,666023,,,-5.425978404,-141.9453471,-7.066028862,17.109891742559743,37.34425574341067,-10.4097429,3.1,1.53,,,,96.6,2710,6.1,744942,666142,666023,521692,686681,672580,677951,669004,664728,592669,54.41,,,,,,,,50,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,137,0,-0.04
